empresa,rol_objetivo,ciudad,tipo,tamaño_eventos_año,pain_point,propuesta_valor,prioridad,email_pattern,timing_contacto,notas
"Cactus Festival","Director de Producción","Sevilla","Promotor",1,"Festival de verano en Sevilla con problema de calor + transporte desde distintos barrios de la ciudad","Carpooling coordinado + shuttle desde puntos neurálgicos de Sevilla; integración en email de confirmación de entrada",4,"info@cactusfestival.es","Mar-Abr 2026","Festival consolidado de Sevilla. Buen candidato para piloto en ciudad mediana."
"Icónica Sevilla Fest","Head of Operations","Sevilla","Promotor",5,"Conciertos en el Estadio Olímpico con escasa red de transporte nocturno en Sevilla","Coordinación de carpooling por barrios de Sevilla + gestión de shuttles desde el centro",4,"info@iconicafestvial.com","Feb-Apr 2026","Festival de grandes artistas en Sevilla verano. Venue con parking limitado."
"Starlite Occident","Director de Operaciones","Marbella","Promotor",20,"La Cantera de Marbella es de difícil acceso sin coche; mayoría de asistentes necesitan transporte privado","Carpooling + shuttle desde Marbella y Málaga; propuesta de ride compartido entre turistas y residentes",4,"info@starliteoccident.com","Feb-Mar 2026","Festival de lujo en Marbella; asistentes viajan desde Málaga, Estepona y Costa del Sol."
"Cruïlla Festival","Head of Operations","Barcelona","Promotor",1,"Festival en Parc del Fòrum con acceso complejo en verano; público familiar","Carpooling familiar + shuttle coordinado desde distintos barrios; integración con app del festival",4,"info@cruillabarcelona.com","Feb-Mar 2026","Festival familiar en Barcelona. Oportunidad de segmento familiar con carpooling."
"Rototom Sunsplash","Director de Producción","Benicàssim (Castellón)","Promotor",1,"Festival reggae con asistentes internacionales; sin transporte propio desde aeropuerto de Valencia","Carpooling internacional + shuttle desde Valencia Airport y estaciones de tren",4,"info@rototomsunsplash.com","Mar-Apr 2026","Festival de 7 días con audiencia internacional. Necesidad de transporte desde aeropuerto es única."
"Festival de les Arts","Head of Operations","Valencia","Promotor",1,"Ciudad de las Artes y las Ciencias tiene parking pero genera congestión en accesos de Valencia","Ride-sharing coordinado desde distintos barrios de Valencia + integración con EMT Valencia",4,"info@lesarts.com","Feb-Mar 2026","Festival en Valencia de 30.000 asistentes. Venue con acceso complejo por autopistas."
"Low Festival","Director de Producción","Benidorm (Alicante)","Promotor",1,"Benidorm tiene mucho hotel pero el festival está en el exterior de la ciudad; transporte caótico","Shuttle coordinado desde zona hotelera de Benidorm al recinto del festival",4,"info@lowfestival.es","Mar-Abr 2026","Festival en Benidorm con asistentes alojados en hoteles de la ciudad. Propuesta muy concreta."
"Viña Rock","Director de Operaciones","Villarobledo (Albacete)","Promotor",1,"Villarobledo es un municipio de 20.000 habitantes que recibe 50.000 asistentes; transporte crítico","Carpooling masivo desde Madrid, Albacete, Murcia + coordinación con autobuses especiales",4,"info@vinarock.com","Mar-Abr 2026","Festival de rock alternativo con asistentes de toda España. Transporte es el mayor problema logístico."
"Warm Up Festival","Head of Operations","Murcia","Promotor",1,"Festival periférico de Murcia sin transporte público adecuado","Carpooling desde Murcia, Cartagena y Alicante + gestión de shuttle",4,"info@warmupfestival.es","Mar-Abr 2026","Festival en Murcia con buen crecimiento. Ciudad sin buena red de transporte nocturno."
"Resurrection Fest","Director de Producción","Viveiro (Lugo)","Promotor",1,"Viveiro es una localidad de 15.000 habitantes con 30.000 asistentes al festival; accesibilidad muy limitada","Carpooling masivo + coordinación de autobuses desde Santiago, A Coruña, Lugo y Oviedo",4,"info@resurrectionfest.es","Feb-Mar 2026","Festival de metal con asistentes de toda España. Viveiro es literalmente inalcanzable sin coordinación."
"Festival Noroeste Estrella Galicia","Head of Operations","A Coruña","Promotor",5,"Festival gratuito en A Coruña con miles de asistentes; transporte urbano insuficiente en horario nocturno","Carpooling entre asistentes coruñeses + coordinación con taxis y VTC locales",3,"info@noroestegalizia.com","Mar-May 2026","Festival gratuito; modelo B2B posible con el Ayuntamiento de A Coruña como pagador."
"SanSan Festival","Director de Producción","Benicàssim (Castellón)","Promotor",1,"Competencia directa de FIB en el mismo municipio; transporte desde Valencia y Castellón crítico","Propuesta compartida de transporte (shuttle compartido entre SanSan y FIB si días no solapan)",3,"info@sansanfestival.com","Mar-Abr 2026","Festival indie en Benicàssim. Posible colaboración conjunta con FIB para rutas de transporte."
"Actual Festival","Director de Producción","Logroño (La Rioja)","Promotor",1,"Logroño es ciudad mediana con asistentes de Navarra, País Vasco y Aragón; sin transporte interurbano organizado","Carpooling desde Pamplona, Vitoria, Bilbao y Zaragoza + gestión de transporte local",3,"info@actualfestival.es","Mar-May 2026","Festival en ciudad media con asistentes de varias comunidades. Buena oportunidad en mercado no saturado."
"Canet Rock","Head of Operations","Canet de Mar (Barcelona)","Promotor",1,"Festival en localidad costera de difícil acceso desde Barcelona por carretera congestionada","Shuttle desde Barcelona (Sants/Nord) + carpooling costero; coordinación con Renfe",3,"info@canetrock.com","Feb-Mar 2026","Festival histórico de rock catalán. Acceso en tren existe pero la vuelta nocturna es el problema."
"Cultura y Gestión","Director de Producción","Madrid","Promotor",30,"Promotora mid-size con múltiples eventos en Madrid; sin solución de transporte propia","Acuerdo marco para todos sus eventos + integración en sus comunicaciones de venta",3,"info@culturaygestión.es","Q2 2026","Promotora con catálogo amplio de eventos en Madrid. Acuerdo marco puede dar volumen rápido."
"Multiticket / Doctor Music Producciones","Head of BD","Barcelona","Promotor",40,"Gran volumen de eventos; gestión de transporte no centralizada","Acuerdo marco para integración de transporte en todos sus eventos en España",3,"info@doctormusic.com","Q2 2026","Gran promotora española. El deal sería estratégico pero ciclo de ventas más largo."
"Calleja Producciones","Director de Eventos","Valencia","Promotor",20,"Eventos en Valencia sin solución de transporte integrada","Carpooling + widget de transporte para eventos en Ciudad de las Artes y otros venues de Valencia",3,"info@callejaproductions.com","Q2 2026","Promotora valenciana con catálogo local significativo."
"Barclaycard Center / Movistar Arena","Director de Operaciones","Madrid","Venue",50,"Palacio de los Deportes renovado con eventos casi diarios; zona de Las Ventas con parking limitado","Widget de transporte en web del venue + coordinación de flujo de salida por zonas de Madrid",4,"info@movistararenamadrid.es","Q2-Q3 2026","Venue mid-size muy activo en Madrid. Buena oportunidad de acuerdo marco."
"Fernando Buesa Arena","Jefe de Operaciones","Vitoria (Álava)","Venue",25,"Vitoria tiene buena red de transporte urbano pero el Arena está en zona industrial","Carpooling entre asistentes vascos + integración con autobuses municipales de Vitoria",4,"info@buesa-arena.com","Q2 2026","Arena del País Vasco. Muchos eventos de artistas nacionales e internacionales."
"Bizkaia Arena BEC!","Director de Operaciones","Bilbao","Venue",40,"BEC está en Barakaldo; transporte desde Bilbao es en metro pero la vuelta nocturna es insuficiente","Coordinación de carpooling desde Bilbao, Barakaldo y área metropolitana vizcaína",4,"info@bizkaiaarena.com","Q2 2026","Gran venue del País Vasco; ubicación periférica = pain point de transporte claro."
"La Riviera","Manager de Operaciones","Madrid","Venue",80,"Sala emblemática de Madrid junto al río; aparcamiento nulo; el Puente de Praga se congestiona","Carpooling coordinado por barrios de Madrid + integración en newsletter de La Riviera",4,"info@larivieramadrid.com","Q2 2026","Sala icónica de Madrid. Modelo: widget de transporte sin coste + revenue share."
"Sala Apolo","Manager de Operaciones","Barcelona","Venue",90,"Sala en Paral·lel; zona bien comunicada pero sin parking; el retorno nocturno es el problema","Carpooling entre asistentes + integración en email de confirmación de compra de entrada",4,"info@sala-apolo.com","Q2 2026","Sala icónica de Barcelona. Modelo de afiliación sencillo y de bajo coste."
"Razzmatazz","Director de Operaciones","Barcelona","Venue",100,"Macrosala en Poblenou con 5 espacios; salida de 3.000 personas simultánea en noche de fin de semana","Coordinación de carpooling por barrios + integración en app propia de Razzmatazz",4,"info@salarazzmatazz.com","Q2 2026","El mayor club de Barcelona. Propuesta: widget en su web o app interna."
"Auditorio Miguel Ángel (Ifema)","Director de Eventos","Madrid","Venue",30,"Venue en IFEMA; sin transporte directo nocturno desde el centro de Madrid","Shuttle coordinado desde Nuevos Ministerios/Aeropuerto + carpooling entre asistentes",3,"info@ifema.es","Q2-Q3 2026","Venue multipropósito en IFEMA. Contactar a través del departamento de eventos de IFEMA."
"Navarra Arena","Director de Operaciones","Pamplona (Navarra)","Venue",20,"Arena en Barañáin; zona industrial sin transporte nocturno adecuado","Carpooling desde Pamplona + coordinación con autobuses municipales nocturnos",3,"info@navarraarena.es","Q2 2026","Arena moderna en Pamplona. Mercado menos saturado; posible early adopter."
"Jardins de Pedralbes","Manager de Eventos","Barcelona","Venue",12,"Festival de jardín en zona exclusiva de Barcelona sin parking; acceso solo en VTC o taxi","Carpooling premium desde el centro de Barcelona + coordinación de punto de recogida único",3,"info@festivaljardins.com","Mar-Abr 2026","Festival de verano en jardines de Pedralbes. Público de alto poder adquisitivo."
"Espacio Movistar Live","Head of Operations","Madrid","Venue",40,"Sala en zona Norte de Madrid; accesible en metro pero vuelta nocturna limitada","Widget de transporte integrado en web + carpooling desde distintas zonas de Madrid",3,"info@espaciomovistar.es","Q2 2026","Sala de Telefónica con alta actividad."
"El Corte Inglés Entradas","Head of Digital Partnerships","Madrid","Ticketing",300,"Plataforma de venta de entradas sin diferencial digital vs Ticketmaster; necesita innovar","Widget de transporte como valor añadido en el checkout; posición de ECI como innovador en UX",4,"entradas@elcorteingles.es","Q1-Q2 2026","ECI tiene volumen enorme pero proceso de venta anticuado. Oportunidad de diferenciación digital."
"Entradas.com (anteriormente Atrapalo Entradas)","Head of BD","Barcelona","Ticketing",150,"Plataforma española de ticketing con catálogo amplio; sin diferencial vs grandes","Integración de transporte en checkout; partnership exclusivo en España para determinados tipos de eventos",4,"info@entradas.com","Q1-Q2 2026","Plataforma española con buen volumen; más ágil para integrar que Ticketmaster."
"Giglon","Director de Operaciones","Madrid","Ticketing",80,"Plataforma de ticketing especializada en conciertos; sin servicios complementarios","Widget de transporte como servicio adicional para sus promotores clientes",3,"info@giglon.es","Q2 2026","Plataforma de ticketing mediana española. Más accesible y ágil para pilotos."
"Eventbrite Spain","Partnerships Manager","Barcelona","Ticketing",500,"Plataforma global sin adaptación al pain point de transporte en eventos de música en España","Integración de link de transporte en emails de confirmación de Eventbrite; modelo de afiliación",3,"info@eventbrite.es","Q2 2026","Eventbrite es global; el proceso puede ser largo. Pero el volumen es enorme."
"DICE.fm Spain","Head of Partnerships","Madrid","Ticketing",100,"App de ticketing con foco en música y experiencia del fan; sin solución de transporte","Integración de transporte en la app de DICE como paso post-compra; muy alineado con su propuesta de fan-first",4,"hello@dice.fm","Q1-Q2 2026","DICE es el ticketing más afín al perfil de ConcertRide. Audiencia de fans de música, app-first."
"BlaBlaCar Spain","Head of Business Development","Madrid","Transporte / Partner potencial","N/A","Carpooling genérico sin vertical de eventos; oportunidad de co-marketing o integración","Acuerdo de co-marketing o integración API: BlaBlaCar para viajes interurbanos + ConcertRide para el último tramo",3,"info@blablacar.es","Q3 2026","Partner potencial, no competidor si se enfoca en la complementariedad."
"ALSA","Director de Nuevos Negocios","Madrid","Transporte / Operador",500,"Rutas de autobús para eventos con baja ocupación; sin canal digital de pre-venta específico para eventos","ConcertRide como canal de venta de sus rutas de evento + gestión de ocupación en tiempo real",4,"info@alsa.es","Q2 2026","ALSA opera muchos shuttles de eventos. Ser su canal digital puede ser un acuerdo estratégico."
"FlixBus Spain","Head of Partnerships","Madrid","Transporte / Operador",400,"Rutas de larga distancia sin integración con eventos; pérdida de demanda de asistentes a festivales","Integración de rutas FlixBus relevantes en la app de ConcertRide para festivales con asistentes nacionales",3,"info@flixbus.es","Q3 2026","FlixBus ya opera rutas especiales para festivales en Alemania. Replicar el modelo en España."
"Cabify Spain","Head of BD / Partnerships","Madrid","Transporte / VTC",300,"VTC sin herramienta de coordinación pre-evento; surge pricing en salida de eventos es su mayor queja","Co-marketing: ConcertRide dirige a quienes no tienen conductor particular a Cabify; Cabify visibilidad en ConcertRide",3,"info@cabify.com","Q3 2026","Posible acuerdo de co-marketing. No competidor si se segmenta correctamente."
"EMT Madrid","Director de Movilidad Eventos","Madrid","Transporte Público / Municipio",200,"Transporte público de Madrid colapsa en grandes eventos; falta de coordinación con organizadores","Datos de demanda de transporte de ConcertRide para anticipar refuerzos de EMT en eventos; acuerdo de co-comunicación",4,"contacto@emtmadrid.es","Q2-Q3 2026","EMT Madrid tiene incentivo de reducir el caos en eventos. Posible acuerdo de datos anonimizados."
"TMB (Transports Metropolitans de Barcelona)","Área de Movilidad Eventos","Barcelona","Transporte Público / Municipio",150,"Misma problemática que EMT Madrid; el metro de Barcelona colapsa en salidas de Palau Sant Jordi y Fòrum","Datos de flujo de demanda para reforzar líneas de metro; integración de información de ConcertRide en app TMB",4,"info@tmb.cat","Q2-Q3 2026","TMB es más innovador tecnológicamente que EMT. Posible pilot de datos compartidos."
"Ayuntamiento de Madrid — Área de Movilidad","Directora del Área de Movilidad Urbana Sostenible","Madrid","Municipio / Administración","N/A","Congestión en eventos grandes; vecinos del entorno de venues se quejan; objetivo de reducción de vehículos privados","Herramienta de coordinación de movilidad para eventos que cumple objetivos del Plan de Movilidad Sostenible",4,"movilidad@madrid.es","Q2 2026","Contactar a través del Área de Movilidad de Madrid. ConcertRide como instrumento de política pública."
"Ayuntamiento de Barcelona — Área de Movilitat","Cap de Servei de Mobilitat d'Esdeveniments","Barcelona","Municipio / Administración","N/A","Barcelona tiene objetivos de superilles y reducción de tráfico; los eventos son un punto crítico","Datos de movilidad en eventos + herramienta que incentiva el transporte compartido vs coche privado",4,"mobilitat@bcn.cat","Q2 2026","Barcelona es líder en políticas de movilidad sostenible; posible acuerdo de datos."
"Ayuntamiento de Valencia — Área de Movilidad","Director de Movilidad Sostenible","Valencia","Municipio / Administración","N/A","Valencia gestiona Festival de les Arts y otros eventos grandes sin herramienta de transporte específica","Herramienta de coordinación de movilidad para eventos en Valencia; datos para el ayuntamiento",3,"movilidad@valencia.es","Q3 2026","Ciudad mediana con varios festivales importantes."
"Ayuntamiento de Bilbao — Área de Tráfico","Responsable de Tráfico y Movilidad en Eventos","Bilbao","Municipio / Administración","N/A","BBK Live genera caos de tráfico en Kobetamendi que afecta a vecinos del entorno; hay quejas anuales","Herramienta para el promotor del festival que resuelve el problema de movilidad que el ayuntamiento no puede resolver",3,"trafico@bilbao.eus","Q1 2026","Bilbao es un caso especial: el ayuntamiento tiene presión real de resolver el problema de BBK Live."
"Ayuntamiento de Sevilla — Área de Movilidad","Jefe de Servicio de Movilidad","Sevilla","Municipio / Administración","N/A","Eventos en el Estadio Olímpico sin plan de movilidad digital; vecinos de la zona afectados","Datos de movilidad + herramienta de carpooling para reducir congestión en eventos del Estadio Olímpico",3,"movilidad@sevilla.es","Q3 2026","Ayuntamiento interesado en soluciones para el Estadio Olímpico."
"Heineken España","Brand Manager / Head of Music Sponsorships","Madrid","Patrocinador / Marca",30,"ROI difícil de medir en patrocinios de festivales; first-party data escasa; saturación en el recinto","Activación de marca en el contexto del viaje: branded rides, playlist patrocinada, oferta en app durante el evento",5,"info@heineken.es","Q1-Q2 2026","Heineken es uno de los mayores patrocinadores de festivales de música en España. Contactar a su equipo de music marketing."
"Estrella Damm","Head of Music Partnerships","Barcelona","Patrocinador / Marca",20,"Patrocinio de festivales catalanes (Primavera, Sonar, Cruïlla) sin activación digital en el transporte","Activación de marca específica para asistentes que viajan a festivales patrocinados por Estrella Damm",4,"info@estrelladamm.com","Q1-Q2 2026","Estrella Damm patrocina Primavera Sound, Sonar, Cruïlla. La sinergia es evidente."
"Moritz Beer","Marketing Manager","Barcelona","Patrocinador / Marca",10,"Marca de cerveza barcelonesa que patrocina eventos culturales y de música; busca activaciones diferenciadoras","Branded rides para eventos Moritz en Barcelona; experiencia social en el trayecto al evento",3,"info@moritz.com","Q2 2026","Moritz es una marca pequeña pero muy activa en patrocinios de música y cultura en Barcelona."
"Red Bull Music","Partnerships Manager Spain","Madrid","Patrocinador / Marca",15,"Activaciones de Red Bull en eventos de música y festivales; búsqueda de formatos digitales innovadores","Branded experience en ConcertRide para festivales de música electrónica; playlists de Red Bull durante el viaje",4,"info@redbull.com","Q1-Q2 2026","Red Bull tiene presupuesto de patrocinio en eventos de música. Propuesta de activación digital."
"Banco Santander — Área de Patrocinios","Head of Music & Entertainment Sponsorships","Madrid","Patrocinador / Marca",25,"Banco con patrocinios en música (Santander Music, etc.); ROI difícil de medir; falta activación digital","Activación de tarjeta Santander como método de pago preferente en ConcertRide + datos de uso para el banco",3,"patrocinios@santander.com","Q2-Q3 2026","Santander tiene presencia en eventos de música a través de Santander Music."
"Movistar / Telefónica — Área de Patrocinios","Sponsorship Manager","Madrid","Patrocinador / Marca",30,"Movistar Arena como venue + patrocinios de eventos; sin integración digital en la experiencia del fan fuera del recinto","Integración de Movistar en ConcertRide: descuento en rides para clientes Movistar + datos de activación",3,"patrocinios@telefonica.com","Q2-Q3 2026","Telefónica tiene interés en activaciones digitales en eventos. El Movistar Arena da un ángulo de venue."
"Pepsi / PepsiCo España","Brand Manager / Music","Madrid","Patrocinador / Marca",15,"Competencia con Coca-Cola en patrocinios de festivales; búsqueda de activaciones diferenciadas","Pepsi-branded carpooling experience en festivales; puntos de experiencia Pepsi en los vehículos",3,"info@pepsico.es","Q3 2026","Pepsi es challenger de Coca-Cola en patrocinios de música. Pueden valorar una activación disruptiva."
"NOS Alive","Head of Operations","Lisboa (Portugal)","Promotor",1,"Festival top de Portugal con 65.000 asistentes/día; transporte desde Lisboa y otras ciudades es crítico","Plataforma de carpooling internacional + gestión de shuttle desde Lisboa, Porto y España",5,"geral@nosalive.com","Feb-Mar 2026","Mayor festival de Portugal. Si se expande a Portugal en año 2, este es el primer target."
"Super Bock Super Rock","Director de Producción","Lisboa (Portugal)","Promotor",1,"Festival en zona periférica de Lisboa; transporte insuficiente para 30.000 asistentes","Carpooling + shuttle coordinado desde Lisboa centro y aeropuerto",4,"info@superbocksuperrock.pt","Mar-Abr 2026","Festival importante en Portugal. Buena introducción al mercado portugués."
"MEO Sudowest","Director de Operaciones","Comporta (Portugal)","Promotor",1,"Comporta es una localidad de 3.000 habitantes con un festival de 30.000 personas; transporte crítico","Coordinación masiva de carpooling desde Lisboa, Setúbal y Évora + shuttle desde Lisboa Airport",4,"info@sudowest.pt","Feb-Mar 2026","Festival en localidad remota de Portugal. Transporte es literalmente el mayor problema logístico."
"Primavera Sound Porto","Head of Operations","Porto (Portugal)","Promotor",1,"Edición de Porto del festival; crecimiento rápido; necesidad de solución de transporte coordinada","Carpooling desde Porto, Braga, Guimarães + shuttle desde el centro de Porto al Parque da Cidade",4,"info@primaverasound.com","Ene-Feb 2026","Primavera Sound tiene ya edición en Porto. Contactar al mismo equipo que la edición de Barcelona."
"Pitchfork Music Festival Paris","Head of Operations","París (Francia)","Promotor",1,"Festival en la Grande Halle de La Villette; transporte desde distintos barrios de París y de otras ciudades","Plataforma de carpooling para asistentes de fuera de París + coordinación de transporte el último tramo",3,"info@pitchforkmusicfestival.fr","Q3 2026","Festival de referencia indie en París. Posible expansión a Francia en año 2–3."
"We Love Green Festival","Director de Producción","París (Francia)","Promotor",1,"Festival de sustentabilidad en el Bois de Vincennes; muy alineado con el mensaje de transporte compartido","Carpooling como propuesta de valor sostenible; alineación con los valores del festival",3,"info@welovegreen.fr","Q3 2026","Festival sostenible en París; ConcertRide encaja perfectamente con su mensaje ecológico."
"Rock en Seine","Head of Operations","París (Francia)","Promotor",1,"Festival en Saint-Cloud; transporte desde París es en RER pero la vuelta nocturna es el problema","Coordinación de vuelta nocturna desde Saint-Cloud para asistentes que van en grupos",3,"info@rockenseine.com","Q3 2026","Festival relevante en París. Para tener en radar en expansión a Francia."
"Lowlands Festival","Director of Operations","Biddinghuizen (Países Bajos)","Promotor",1,"Festival en localidad rural de Holanda; accesible principalmente en coche o autobús especial","Carpooling desde Ámsterdam, Utrecht y Rotterdam + integración con autobuses especiales del festival",3,"info@lowlands.nl","Q4 2026","Festival top de los Países Bajos. Para fase de expansión europea."
"Melt Festival","Head of Operations","Gräfenhainichen (Alemania)","Promotor",1,"Festival en zona industrial de Alemania Oriental; asistentes principalmente de Berlín y Hamburgo","Carpooling coordinado desde Berlín y otras ciudades alemanas + integración con Deutsche Bahn",3,"info@meltfestival.de","Q4 2026","Festival de electrónica en Alemania. Para fase de expansión a Alemania."
"Lollapalooza Berlin","Partnerships Manager","Berlín (Alemania)","Promotor",1,"Festival en Tempelhof; transporte desde distintos barrios de Berlín + asistentes internacionales","Ride-sharing entre asistentes en Berlín + coordinación con transporte público (BVG)",3,"info@lollapaloozade.com","Q4 2026","Edición alemana de Lollapalooza. Para fase de expansión europea."
"Brunch Electronik","Director de Operaciones","Barcelona","Promotor",15,"Eventos dominicales en distintas localizaciones de Barcelona; sin transporte coordinado","Carpooling dominical entre asistentes de distintos barrios de Barcelona",3,"info@brunchelectronik.com","Q2 2026","Serie de eventos dominicales de electrónica en Barcelona. Modelo recurrente = buena retención de usuarios."
"Ocesa Spain (promotora)","Head of BD","Madrid","Promotor",20,"Promotora latinoamericana con presencia en España; sin solución de transporte propia","Acuerdo marco para todos sus eventos en España + posible expansión a LATAM",3,"info@ocesa.es","Q3 2026","OCESA es uno de los mayores promotores de LATAM. Presencia en España puede ser trampolín a expansión."
"Funámbul Concerts","Director de Producción","Barcelona","Promotor",30,"Promotora mediana de Barcelona con conciertos en Palau de la Música y otros venues","Carpooling para asistentes de conciertos de cámara y música clásica; segmento de mayor poder adquisitivo",3,"info@funambul.com","Q2-Q3 2026","Promotora de música clásica y contemporánea. Segmento diferente pero pain point de transporte igual."
"Big Concerts Spain","Head of Operations","Madrid","Promotor",15,"Promotora de giras internacionales; sin solución de transporte integrada en sus eventos","Carpooling + shuttle para giras de grandes artistas en venues de Madrid y Barcelona",3,"info@bigconcerts.es","Q2 2026","Promotora con catálogo de giras internacionales."
"Festival Internacional de Jazz de Barcelona","Director de Producción","Barcelona","Promotor",10,"Conciertos en distintas localizaciones de Barcelona; público >45 años menos familiarizado con apps","Carpooling sencillo + widget en web del festival; comunicación por email en lugar de app-first",3,"info@jazz.barcelona","Q2 2026","Festival de jazz de referencia. Público más mayor; adaptar la propuesta de comunicación."
"Festival Internacional de Jazz de Madrid","Director de Eventos","Madrid","Promotor",8,"Mismo perfil que Festival de Jazz de Barcelona","Mismo modelo: carpooling + widget en web; comunicación por email",3,"info@jazzmadrid.com","Q2 2026","Festival de jazz en Madrid."
"DCode Festival","Head of Operations","Madrid","Promotor",1,"Festival en el Ciudad Universitaria; asistentes de toda España que llegan en AVE o coche","Carpooling desde el centro de Madrid + coordinación con Cercanías hacia Ciudad Universitaria",4,"info@dcodefest.com","Mar-Apr 2026","Festival mid-size en Madrid con buena proyección."
"Islandia Music Festival","Director de Producción","Vitoria (Álava)","Promotor",1,"Festival mediano en Vitoria; asistentes del País Vasco y Navarra sin transporte coordinado","Carpooling desde Bilbao, San Sebastián y Pamplona + shuttle desde Vitoria centro",3,"info@islandiafestival.com","Mar-Abr 2026","Festival en Vitoria. Mercado vasco poco saturado."
