festival_slug,festival_name,city,fecha_inicio,hotel_basico_eur_noche_promedio,hotel_3star_eur_noche,hotel_4star_eur_noche,hostel_eur_noche,apartment_2pax_eur_noche,distancia_alojamiento_recinto_km,ocupacion_pct_fechas_festival,recomendacion
pirineos-sur,Festival Internacional de las Culturas Pirineos Sur,Lanuza,2026-07-09,75,100,140,NA,110,18,98,Apartamentos Sallent de Gállego/Formigal/Tramacastilla; valle saturado
jazzaldia,Heineken Jazzaldia,San Sebastián,2026-07-22,130,185,285,55,215,3,98,San Sebastián la 2ª ciudad más cara España julio; alternativa Hendaya/Hondarribia
azkena-rock-festival,Azkena Rock Festival,Vitoria-Gasteiz,2026-06-18,65,90,130,25,100,3,80,Hoteles Vitoria centro caminando al recinto Mendizabala
metropoli-gijon,Festival Internacional Metrópoli Gijón,Gijón,2026-06-26,75,100,140,28,115,3,90,Hoteles Gijón Cimadevilla o playa San Lorenzo; pico turismo verano norte
santander-music,Santander Music Festival,Santander,2026-08-06,90,125,175,35,145,4,95,Santander en agosto pico turismo cantábrico; alternativa Torrelavega 27 km
ebrovision,Ebrovisión,Miranda de Ebro,2026-08-21,55,75,110,NA,85,2,90,Hostal Miranda centro a 800m recinto; oferta limitada
stone-music-festival,Stone & Music Festival Mérida,Mérida,2026-06-05,60,85,120,22,90,3,75,Hoteles Mérida centro caminando al Teatro Romano; oferta razonable
reggaeton-beach-festival,Reggaeton Beach Festival,Salou,2026-07-31,70,95,135,25,110,5,98,Apartamentos Salou/Cambrils saturados verano; alternativa Reus 15 km
mallorca-live-festival,Mallorca Live Festival,Calvià,2026-06-12,85,120,170,32,140,7,92,Hoteles Magaluf/Palmanova; alquiler coche aconsejable
granca-live-fest,Granca Live Fest,Las Palmas de Gran Canaria,2026-07-02,75,105,150,28,120,10,85,Hoteles Las Canteras o Triana; guagua 1 directa al recinto Siete Palmas
sos-48,SOS 4.8 Festival,Murcia,2026-05-03,55,80,115,22,90,3,72,Hostales Murcia centro a 15 min andando del recinto Cuartel Artillería
aquasella-festival,Aquasella Festival,Arriondas,2026-08-13,55,80,115,NA,85,8,96,Camping junto al río Sella; alternativa Cangas de Onís 5 km
boombastic-asturias,Boombastic Asturias,Llanera,2026-08-13,60,85,120,22,95,3,85,Hoteles Oviedo 12 km; servicio bus oficial al recinto
canela-party,Canela Party,Torremolinos,2026-08-13,80,110,160,30,135,3,98,Torremolinos en agosto saturado; alternativa Benalmádena 4 km
